near_earth,potentially_hazardous,absolute_magnitude_parameter,epoch,eccentricity,semi_major_axis,perihelion_distance,inclination,om,w,ma,ad,n,tp,per,per_y,moid_ld,sigma_i,sigma_w,class,rms
N,N,17.6,2459000.5,0.1036301668192698,2.782763560618804,2.494385308613292,3.036655631108212,225.9549931961027,109.3660402630537,9.41112643759566,3.071141812624316,0.2123193677308568,2458956.174668128,1695.558930150678,4.6421873515419,578.579039,1.1901e-05,0.00035547,MBA,0.59524
N,N,14.8,2459000.5,0.07743829560943118,3.029778002687303,2.795157158084252,9.448966505740628,316.5133458901291,74.27828422729911,136.1333121999008,3.264398847290355,0.1868907735978944,2458272.088909505,1926.258814544582,5.27380921162103,707.5772189,7.2043e-06,5.218e-05,MBA,0.58605
N,N,17.8,2459000.5,0.1833859284235001,2.385561365348554,1.948082979552877,3.624968702292088,82.60368733703172,326.5340810495865,79.27244854562119,2.823039751144231,0.2674965498397329,2458704.150575706,1345.811750527957,3.6846317605146,373.48878402,6.6232e-06,0.00010716,MBA,0.62778
N,N,16.7,2459000.5,0.06760365907778168,2.915274775132381,2.718191533116275,2.172052327303849,24.22329595026529,356.2537099251957,300.9115720243146,3.112358017148487,0.1980089549377159,2459298.9129076093,1818.09959106768,4.9776853964892,669.5436348,7.254e-06,0.00019615,MBA,0.63389
N,N,18.272,2456396.5,0.2916373573480497,3.137116562614205,2.222216178600601,24.8343595532277,26.72106783658182,257.2646140400535,312.2111683236357,4.05201694662781,0.1773814049682536,2456665.912860299,2029.52502301146,5.55653668175622,525.4106336,2.1261,3.9001,MBA,0.1433
N,N,17.3,2459000.5,0.298914192318501,2.576592372002478,1.806412344191347,3.447090467799027,298.9452476940853,101.4554702872278,79.83300611449376,3.34677239981361,0.2383062863094293,2458665.4983206447,1510.660946361093,4.13596426108444,318.52630492,1.1114e-05,0.00010463,MBA,0.65526
N,N,18.53,2459000.5,0.1248213861147576,2.356488535994366,2.062348370568014,7.263055196963633,11.80419744174362,11.36589254411319,76.84063436878671,2.650628701420719,0.2724620857616228,2458718.4767814158,1321.284754147277,3.61748050416777,414.7618192,9.3407e-06,0.00014124,MBA,0.52132
N,N,14.6,2459000.5,0.2259285175130979,2.682931868355851,2.076781048749568,16.31428683202298,75.85933406072692,0.25134762701048,58.57411741743326,3.289082687962134,0.2242795147031545,2458739.3342957003,1605.139909797284,4.39463356549564,424.9930985,3.9135e-06,2.0714e-05,MBA,0.50659
N,N,19.223,2456298.5,0.08767328016001787,2.643620420112603,2.411845546383327,13.97115422446991,258.1217114508725,188.2716318150614,27.47081383386579,2.87539529384188,0.2293007246153841,2456178.6974399346,1569.990677542966,4.29840021230107,555.8787529,0.28194,10.358,MBA,0.12852
N,N,16.2,2459000.5,0.1034656039179949,3.162107175658531,2.834937847075596,11.67320859422514,22.1171384454961,174.4762797444474,171.2697245530595,3.489276504241466,0.1752827569030658,2458023.3946213587,2053.824382731987,5.62306470289387,713.4809278,1.5713e-05,7.3969e-05,MBA,0.55397
N,N,16.6,2459000.5,0.1105391532992839,2.333601689363089,2.075647334483115,7.292876119295829,33.44233331605787,236.5921395281431,280.6558979944274,2.591556044243064,0.2764801638211614,2459287.479365568,1302.082561817572,3.56490776678322,416.5597846,6.685e-06,6.2797e-05,MBA,0.57392
N,N,17.2,2459000.5,0.05224622532962968,2.795179917125545,2.649142317338549,3.715960793533673,339.9536514437373,92.3449173607436,19.03096775868685,2.941217516912542,0.2109062369339555,2458910.265742183,1706.919649383022,4.67329130563456,648.7424983,6.6968e-06,0.00012454,MBA,0.6294
N,N,15.0,2459000.5,0.1097911822297598,3.568214896381243,3.176456364457706,18.9382248936897,91.61320768744132,279.1298599298533,145.0357263289955,3.95997342830478,0.1462270002981086,2458008.6467442173,2461.925631149369,6.740385027103,876.4731072,9.6453e-06,5.7507e-05,OMB,0.62018
N,N,13.6,2459000.5,0.1796241347617363,3.157136718936065,2.590038767472667,1.872498127761049,103.7096989053857,233.2550465191072,279.2525964459412,3.724234670399463,0.1756968559366242,2459460.0836568824,2048.983734403625,5.60981173005784,615.3672791,4.2254e-06,0.00015173,MBA,0.51666
N,N,17.4,2459000.5,0.06786418674861129,2.281993359516497,2.127127736007178,6.923832531193333,311.4577530858649,257.8730916709666,111.2402708191523,2.436858983025815,0.2859120829097171,2458611.428402581,1259.128317825161,3.44730545605794,441.7780006,6.0997e-06,7.4431e-05,MBA,0.58575
N,N,16.0,2459000.5,0.0378694337395255,2.426167139851484,2.334289564107864,4.321486362814429,16.04687601552963,358.2951206477052,97.15773511037888,2.518044715595104,0.260809255501551,2458627.9758925885,1380.319112171458,3.77910776775211,519.2072638,5.8517e-06,8.3496e-05,MBA,0.52956
N,N,20.92,2458509.5,0.08961185504275052,1.696997928398136,1.544926796030674,26.45237435657511,116.6307585663141,276.8680791698394,74.74735522857365,1.849069060765597,0.4458431573915422,2458341.8460750957,807.458842939796,2.2107018287195,257.68774799,2.0677,3.4633,MCA,0.97969
N,N,17.1,2459000.5,0.1891784476215037,2.38837397629856,1.936545095122801,3.414968172094701,23.82094986290504,307.1382749397533,48.7479259024291,2.84020285747432,0.2670241726983841,2458817.94002646,1348.192548869485,3.69115003112795,361.26884602,8.0881e-06,9.5916e-05,MBA,0.67391
N,N,16.6,2459000.5,0.09545361332398106,2.616983745427807,2.367183190916597,5.887668689339887,74.97562033696389,100.1903693198149,335.4705667455941,2.866784299939016,0.2328104853064958,2459105.862235821,1546.322106266214,4.23359919580072,537.0584917,5.0018e-06,6.3071e-05,MBA,0.57878
N,N,18.1,2459000.5,0.1996380254608779,2.557438093296601,2.046876202112435,10.28082810196246,222.8576232071538,117.6692325401735,86.71239782641395,3.067999984480767,0.2409885337318381,2458640.68039994,1493.847007677937,4.08993020582597,413.7733274,2.9618e-05,0.00037893,MBA,0.64083
N,N,16.4,2459000.5,0.06917810539982397,3.167139178125435,2.948042490245161,10.65921225631155,104.8712417741916,334.2376112116009,130.5363414595452,3.386235866005708,0.1748651847127619,2458254.002967592,2058.72884640442,5.6364923926199,765.9099102,6.6653e-06,7.8789e-05,MBA,0.63851
N,N,17.1,2459000.5,0.06243644955666428,3.091996127290543,2.898942867059565,13.82381434101908,2.628881743530554,170.6280167920974,141.2748957192631,3.28504938752152,0.1812782341175958,2458221.1736985995,1985.897544470048,5.43709115529103,740.9368713,3.76e-05,0.00016513,MBA,0.48359
N,N,15.5,2459000.5,0.0793251459855713,3.192311091597973,2.939080548225605,24.53524163865707,16.60940845639755,352.5275792370986,207.1902108987383,3.445541634970341,0.1728010048527215,2459884.8107667775,2083.321218570624,5.70382263811259,755.3167028,1.1838e-05,4.609e-05,MBA,0.6556
N,N,17.7,2459000.5,0.1313050682225753,1.963338411479385,1.705542127416082,22.93475250532574,184.0234795897946,251.4891346367714,137.5965805817459,2.221134695542689,0.3582707301833153,2458616.4424452246,1004.826712513746,2.75106560578712,313.21296691,1.0085e-05,4.514e-05,IMB,0.57012
N,N,16.9,2459000.5,0.2435011154423319,2.546791302455624,1.926644779508851,6.106474633415901,135.7515598072953,305.7365389454492,160.8698035725668,3.166937825402398,0.2425012808672243,2458337.1228706203,1484.528241304875,4.06441681397639,369.71344585,1.1577e-05,6.4352e-05,MBA,0.60096
N,N,16.5,2459000.5,0.1337980559005049,2.549222022895266,2.208141072173127,3.024245793856273,165.0103050695234,120.9842937460927,346.5716995026751,2.890302973617405,0.2421545207893789,2459055.9534371425,1486.654053892807,4.07023697164355,464.5327705,7.0861e-06,9.9803e-05,MBA,0.64054
N,N,16.3,2459000.5,0.2961183208367806,2.781768780982759,1.958036080601967,7.134785939827124,287.790668758814,75.46985865290932,150.8382538579055,3.605501481363552,0.2124332682100951,2458290.4499446163,1694.649821250984,4.63969834702528,377.55016214,7.3238e-06,5.4702e-05,MBA,0.52026
N,N,18.694,2459000.5,0.125734465057923,2.405986265037257,2.103470869066088,2.551555490664546,336.0671002764304,2.781403277277315,22.31893713253316,2.708501661008427,0.2640975414328784,2458915.9897958855,1363.132720004876,3.73205399043087,425.9193231,1.5777e-05,0.00026,MBA,0.6383
